,cumulative_regions,coverage,regions
0,,8687,437
1,,12456,416
2,,20727,322
3,,28296,487
4,,31607,283
5,,31607,445
6,,33465,384
7,,38087,168
8,,40197,491
9,,42698,314
10,,42698,396
11,,43623,288
12,,43758,192
13,,43758,185
14,,43758,287
15,,48039,205
16,,48857,209
17,,49622,308
18,,50780,503
19,,50780,318
20,,50780,319
21,,52230,467
22,,52230,313
23,,52230,458
24,,52230,451
25,,52230,257
26,,52230,393
27,,52230,402
28,,52230,431
29,,52230,438
30,,52794,501
31,,53174,492
32,,56651,519
33,,61763,510
34,,63840,484
35,,63840,422
36,,63840,454
37,,63840,452
38,,68195,334
39,,68195,466
40,,70315,128
41,,70315,109
42,,70315,490
43,,70315,401
44,,72653,529
45,,72653,203
46,,72653,202
47,,72653,502
48,,72653,488
49,,72653,170
50,,72653,285
51,,72653,291
52,,72653,172
53,,74531,342
54,,76223,561
55,,76482,241
56,,76482,534
57,,76482,424
58,,76988,475
59,,80568,507
60,,80568,504
61,,81823,151
62,,82490,207
63,,82747,346
64,,82747,125
65,,82747,345
66,,83166,298
67,,83166,301
68,,83166,315
69,,83166,428
70,,83166,326
71,,83166,461
72,,83166,385
73,,83166,222
74,,83166,391
75,,83166,390
76,,84054,550
77,,84054,447
78,,84054,506
79,,84054,442
80,,84054,184
81,,84054,312
82,,84054,199
83,,84054,444
84,,84054,131
85,,84054,481
86,,84054,307
87,,84054,305
88,,84054,304
89,,84054,303
90,,84054,169
91,,84054,513
92,,84054,377
93,,84054,216
94,,84054,395
95,,84054,397
96,,84054,497
97,,84054,366
98,,84054,389
99,,84054,388
100,,84054,446
101,,84054,152
102,,84054,418
103,,84054,512
104,,84054,498
105,,84054,572
106,,84054,368
107,,84054,374
108,,84054,367
109,,84054,369
110,,84054,355
111,,84054,250
112,,84054,249
113,,84054,245
114,,84054,247
115,,84054,286
116,,84054,195
117,,84054,196
118,,84054,427
119,,84054,436
120,,84518,99
121,,84518,101
122,,84518,182
123,,84518,138
124,,84518,248
125,,84518,404
126,,84518,464
127,,84518,459
128,,85097,270
129,,85097,211
130,,85097,212
131,,85097,210
132,,85097,293
133,,85097,188
134,,85097,480
135,,85097,149
136,,85324,106
137,,85324,254
138,,85324,148
139,,86242,223
140,,86242,226
141,,86242,96
142,,86242,186
143,,86242,382
144,,86242,289
145,,86242,575
146,,87367,58
147,,87367,470
148,,87367,116
149,,87367,411
150,,87367,415
151,,87367,365
152,,87367,363
153,,87431,94
154,,87431,505
155,,87431,171
156,,87431,232
157,,87431,443
158,,87552,85
159,,87552,119
160,,87552,517
161,,88028,468
162,,88916,70
163,,88916,225
164,,88916,370
165,,88916,167
166,,88916,174
167,,88916,175
168,,88916,177
169,,88916,486
170,,88916,299
171,,88916,295
172,,88916,294
173,,88916,453
174,,88916,522
175,,88916,563
176,,88916,191
177,,88916,136
178,,88916,256
179,,88916,258
180,,88916,238
181,,88916,239
182,,88916,220
183,,88916,90
184,,88916,509
185,,88916,145
186,,88916,115
187,,89139,64
188,,89139,311
189,,89139,306
190,,89139,221
191,,89139,357
192,,89139,358
193,,89139,129
194,,89139,130
195,,89139,339
196,,89139,259
197,,89139,244
198,,89139,531
199,,89139,372
200,,90398,41
201,,90398,441
202,,90398,434
203,,90398,54
204,,90566,540
205,,90566,72
206,,90566,562
207,,90566,496
208,,90566,433
209,,90566,140
210,,90566,121
211,,90566,143
212,,90566,296
213,,90566,213
214,,90566,93
215,,90566,279
216,,90566,282
217,,90566,278
218,,90566,141
219,,90566,525
220,,90566,113
221,,90566,330
222,,90566,536
223,,90566,474
224,,90566,378
225,,90566,485
226,,90566,333
227,,90566,133
228,,90566,132
229,,90566,55
230,,90566,176
231,,90566,144
232,,90566,107
233,,90566,97
234,,90566,539
235,,90566,398
236,,90566,272
237,,90566,460
238,,90566,124
239,,90566,66
240,,90566,341
241,,90566,340
242,,90566,331
243,,90566,134
244,,90566,508
245,,90566,545
246,,90566,88
247,,90566,197
248,,90566,410
249,,90566,407
250,,90566,419
251,,90566,432
252,,90566,84
253,,90566,252
254,,90566,122
255,,90566,123
256,,90566,469
257,,90566,255
258,,90566,102
259,,90566,103
260,,90566,549
261,,90566,118
262,,90566,120
263,,90566,323
264,,90566,435
265,,90566,22
266,,90566,104
267,,90566,479
268,,90566,423
269,,90566,478
270,,90566,376
271,,90566,371
272,,90566,520
273,,90566,476
274,,90566,237
275,,90566,73
276,,90566,240
277,,90566,251
278,,91048,154
279,,91048,471
280,,91048,236
281,,91048,92
282,,91048,229
283,,91048,224
284,,91048,3
285,,91048,23
286,,91048,215
287,,91048,198
288,,91048,108
289,,91048,230
290,,91048,253
291,,91048,573
292,,91048,570
293,,91048,158
294,,91048,361
295,,91048,114
296,,91048,117
297,,91048,495
298,,91048,233
299,,91048,178
300,,91048,477
301,,91048,387
302,,91048,43
303,,91048,362
304,,91048,208
305,,91048,234
306,,93735,577
307,,93735,61
308,,93735,63
309,,93735,217
310,,93735,218
311,,93735,231
312,,94044,8
313,,94044,235
314,,94044,28
315,,94044,181
316,,94044,180
317,,94044,383
318,,94044,261
319,,94044,343
320,,94044,79
321,,94044,83
322,,94044,135
323,,94044,332
324,,94044,429
325,,94044,86
326,,94044,273
327,,94044,277
328,,94044,268
329,,94044,266
330,,94044,260
331,,94044,399
332,,94044,274
333,,94044,565
334,,94044,566
335,,94044,32
336,,94044,554
337,,94044,555
338,,94044,89
339,,94044,325
340,,94044,530
341,,94044,5
342,,94044,281
343,,94044,77
344,,94044,78
345,,94044,24
346,,94044,392
347,,94044,276
348,,94044,147
349,,94044,146
350,,94044,494
351,,94044,18
352,,94044,354
353,,94044,351
354,,94044,347
355,,94044,56
356,,94044,162
357,,94044,161
358,,94044,153
359,,94044,179
360,,94044,48
361,,94044,47
362,,94044,45
363,,94044,44
364,,94044,523
365,,94044,379
366,,94044,159
367,,94044,160
368,,94044,62
369,,94044,105
370,,94044,413
371,,94044,425
372,,94044,38
373,,94108,543
374,,94108,426
375,,94108,457
376,,94108,35
377,,94108,80
378,,94108,546
379,,94108,557
380,,94108,68
381,,94108,71
382,,94108,421
383,,94108,420
384,,94108,300
385,,94108,560
386,,94108,472
387,,94108,36
388,,94108,514
389,,94108,337
390,,94108,111
391,,94108,551
392,,94108,57
393,,94108,204
394,,94108,556
395,,94108,558
396,,94108,53
397,,94108,87
398,,94108,52
399,,94108,329
400,,94108,518
401,,94108,126
402,,94108,403
403,,94108,46
404,,94108,98
405,,94108,535
406,,94108,6
407,,94108,405
408,,94108,473
409,,94108,338
410,,94108,482
411,,94108,95
412,,94108,166
413,,94108,165
414,,94108,163
415,,94108,489
416,,94108,65
417,,94108,316
418,,94108,7
419,,94108,13
420,,94108,614
421,,94108,267
422,,94108,327
423,,94108,187
424,,94108,275
425,,94108,34
426,,94108,564
427,,94108,615
428,,94108,328
429,,94108,515
430,,94108,516
431,,94108,164
432,,94108,542
433,,94108,21
434,,94108,493
435,,94108,533
436,,94108,532
